model,rmse_log_mean,rmse_log_std,stage
Lasso_CatBoost_Ensemble_FE,0.10938417761995448,0.006365290007832415,Ensemble
Mixed_Ensemble_FE,0.10948449479018123,0.006187906980522923,Ensemble
Lasso_FE,0.11264137367610143,0.006403723105865043,Feature Engineering
Lasso,0.11282405417340999,0.006211876630811692,Baseline
Linear_Ensemble_FE,0.11298122669625679,0.006876139616111513,Ensemble
ElasticNet_FE,0.11306415976656548,0.006387072073542778,Feature Engineering
CatBoost_FE,0.11307694863259685,0.007295616689454763,Boosting
ElasticNet,0.11314940855915986,0.0062796617723547025,Baseline
Ridge,0.11483519302699492,0.008165680945051094,Baseline
Ridge_FE,0.11497254013367766,0.008013140591556426,Feature Engineering
XGBoost_FE,0.11522544219327531,0.00581740364736298,Boosting
GradientBoosting,0.12149793956193518,0.007185317847113192,Baseline
GradientBoosting_FE,0.12167119250865284,0.007447422350376223,Feature Engineering
LightGBM_FE,0.12380281149258068,0.007861933005315687,Boosting
RandomForest_FE,0.13381983963534372,0.008544338686005026,Feature Engineering
RandomForest,0.13920052866977534,0.009654670953266449,Baseline
MLP_128_64_FE,0.20710521064099746,0.03558187648542396,DNN
MLP_128_64_32_FE,0.22046994852944013,0.07930885649200828,DNN
MLP_64_32_FE,0.2529708782148928,0.13547315987914316,DNN
DummyRegressor,0.399284908349551,0.016812295456188092,Baseline
