trial,value,lasso_alpha,catboost_iterations,catboost_learning_rate,catboost_depth,catboost_l2_leaf_reg,ensemble_lasso_weight,cv_rmse_log_mean,cv_rmse_log_std,oof_rmse_log,oof_mae_price,oof_rmse_price,oof_mape_percent,oof_wape_percent
0,0.11575109608739291,0.003723304733290532,1000,0.019973348739872502,3,3.0927379654571507,0.1591430709717372,0.11575109608739291,0.007974427045596979,0.11602931032768929,14014.347757419262,22582.371744572807,8.056138905871272,7.7456041883749345
1,0.10959064597962169,0.0001269904888111739,800,0.0794782520171968,7,3.239535079556905,0.43928700950792854,0.10959064597962169,0.0076382717650471535,0.10986151002194913,13029.103834834526,20676.588269328266,7.598612997589502,7.201068717624737
2,0.11550488625063364,9.281460931724923e-05,1200,0.018007169559001,7,0.6581538719844783,0.8496874980451636,0.11550488625063364,0.007477257946096847,0.11575121731800277,13591.811008098646,20785.915356115904,8.048518501349843,7.51207192044991
3,0.11156851489864983,0.0006394912848697321,400,0.04267570002339106,4,1.2304328093390928,0.2620755291868344,0.11156851489864983,0.006797945231231133,0.11177988516565039,13418.059826971286,21592.01522175026,7.724299552988379,7.416041202533502
4,0.11926262706268202,1.960068894154057e-05,600,0.0101434743378166,3,0.775924253171415,0.35884531278322573,0.11926262706268202,0.008513513193660243,0.1195721666584402,14402.05319685052,23603.43845593307,8.360237056710394,7.959885504030504
5,0.11369578658279111,0.0005609090618750891,1000,0.06383147963370392,7,2.8414760208787846,0.015925544961924,0.11369578658279111,0.007815451604352585,0.11396643292620963,13861.64028194255,23042.783367732012,7.903969449162451,7.661204137646751
6,0.10974853955884552,0.00029309935680209016,600,0.019660279730459813,7,5.163272044927705,0.517154510157527,0.10974853955884552,0.007367583315167789,0.10999949130375017,13021.526711011904,20568.44061793627,7.613716744540594,7.19688090931341
7,0.11254708915684582,0.00013174219211571587,400,0.016126074478650474,6,2.601650566611162,0.5048000002319724,0.11254708915684582,0.007304388623994369,0.11278885262468545,13393.657793800649,21416.53147138416,7.829044999007354,7.402554417875167
8,0.11159708275888611,0.0001316705403611401,1200,0.011431141819292173,5,1.222445364674096,0.21453444085154172,0.11159708275888611,0.00716448329246409,0.11183038359620984,13372.270015137856,21876.951575460007,7.71905942645484,7.390733584622125
9,0.1119906498066682,0.000936247577294442,900,0.013267747233471733,4,2.013116652583988,0.8734222484354829,0.1119906498066682,0.007153739607688979,0.11222333434778643,13379.103626130383,20328.16244166632,7.923405795448334,7.394510460067323
